"Part";"Value";"Device";"Package";"Description";"";
"C1";"10n";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";
"C2";"1u";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";
"C3";"15p";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";
"C4";"100n";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";
"C5";"22u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C6";"22u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C7";"10u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C8";"10u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C11";"10u";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";
"C12";"0.47u";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";
"C15";"10u";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";
"C16";"0.47u";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";
"C19";"10u";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";
"C20";"0.47u";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";
"C23";"10u";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";
"C24";"0.47u";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";
"D1";"BAS40-04";"BAS40-04";"SOT23";"Silicon Schottky Diodes";"";
"D2";"BAS40-04";"BAS40-04";"SOT23";"Silicon Schottky Diodes";"";
"D3";"BAS40-04";"BAS40-04";"SOT23";"Silicon Schottky Diodes";"";
"D4";"BAS40-04";"BAS40-04";"SOT23";"Silicon Schottky Diodes";"";
"D5";"BAS40-04";"BAS40-04";"SOT23";"Silicon Schottky Diodes";"";
"D6";"5V1";"DIODE-SOD323-R";"SOD323-R";"DIODE";"";
"D7";"5V1";"DIODE-SOD323-R";"SOD323-R";"DIODE";"";
"D8";"13V";"BAS70";"SOT23";"Silicon Schottky Diodes";"";
"D9";"5V1";"DIODE-SOD323-R";"SOD323-R";"DIODE";"";
"D10";"";"DIODE-SOD80C";"SOD80C";"DIODE";"";
"D12";"";"DIODE-DO-214AC";"DO-214AC";"DIODE";"";
"D14";"";"DIODE-DO-214AC";"DO-214AC";"DIODE";"";
"D16";"";"DIODE-DO-214AC";"DO-214AC";"DIODE";"";
"D18";"";"DIODE-DO-214AC";"DO-214AC";"DIODE";"";
"G1";"REV_POL";"SI3493DDV-T1-GE3";"TSOP-6";"20V P-CH MOSFET";"";
"G2";"OV";"SI3493DDV-T1-GE3";"TSOP-6";"20V P-CH MOSFET";"";
"G3";"OV2";"SI3493DDV-T1-GE3";"TSOP-6";"20V P-CH MOSFET";"";
"J1";"BATT";"MST2V";"MSTBV2";"PHOENIX";"";
"J2";"EXT5V";"MST2V";"MSTBV2";"PHOENIX";"";
"J3";"LGHT_CTRL";"PINHD-1X5";"1X05";"PIN HEADER";"";
"J4";"ENCODER";"PN87520";"PN87520";"BERG USB connector";"";
"J5";"MONITOR";"DCJ0303";"DCJ0303";"DC POWER JACK";"";
"JMP2";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"SMD 0R 0805 Jumper";"";
"JMP4";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"SMD 0R 0805 Jumper";"";
"JMP6";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"SMD 0R 0805 Jumper";"";
"JMP8";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"SMD 0R 0805 Jumper";"";
"JP1";"HEAD";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP2";"TAIL";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP3";"LEFT";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP4";"RIGHT";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP5";"AN. BATT.";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP6";"CADENCE";"PINHD-1X3";"1X03";"PIN HEADER";"";
"L1";"3u3";"SDES064T-3R3MS";"SDES064T";"";"";
"L3";"4u7";"NR6028NR6028";"INDDFN600X600X280-2N";"";"";
"L5";"4u7";"NR6028NR6028";"INDDFN600X600X280-2N";"";"";
"L7";"4u7";"NR6028NR6028";"INDDFN600X600X280-2N";"";"";
"L9";"4u7";"NR6028NR6028";"INDDFN600X600X280-2N";"";"";
"LED1";"RP";"LEDSML0805";"SML0805";"LED";"";
"LED2";"OV";"LEDSML0805";"SML0805";"LED";"";
"LED3";"UV";"LEDSML0805";"SML0805";"LED";"";
"LED4";"OK";"LEDSML0805";"SML0805";"LED";"";
"M1";"NRF24L01-PA-EXT";"WIRELESS-NRF24L01-PA-EXT";"WIRELESS-NRF24L01-PA-EXT";"2.4 GHz Wireless Module based on NRF24L01 chip with preamplifier and external antenna";"";
"M2";"ULTIMATE-GPS";"ULTIMATE-GPS";"ULTIMATE_GPS";"";"";
"R1";"2k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R2";"2k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R3";"2k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R4";"2k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R5";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R6";"31k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R7";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R8";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R9";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R10";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R11";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R12";"22k1";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R13";"124k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R14";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R16";"1k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R17";"1k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R18";"1k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R19";"1k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R20";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
